0:00 - Alexander Hamilton
0:49 - Alexander Hamilton > Hurricane
5:58:33 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
6:02:42 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
6:02:45 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
6:06:55 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
6:06:58 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
6:11:07 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
6:13:46 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet
6:13:47 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
6:14:37 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
6:18:47 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
6:20:37 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
6:24:46 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
6:24:49 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
6:28:59 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
6:29:02 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
6:33:11 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
6:35:50 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet
6:36:31 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
6:36:31 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton
6:39:38 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir
6:41:54 - The Story of Tonight > The Story of Tonight (Reprise)
6:43:03 - The Story of Tonight
6:43:04 - The Story of Tonight > The Story of Tonight (Reprise)
6:43:49 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir
6:44:08 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton
6:44:58 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
6:46:54 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
6:50:08 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
6:50:08 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
6:53:22 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
6:53:22 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
6:56:35 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
6:56:37 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
6:59:51 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane
6:59:51 - The Story of Tonight > The Story of Tonight (Reprise) > Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
